D-CODE,Shape,Size A (mils),Size B (mils),Thickness (mils),Area Ratio,Aspect Ratio,Qtd,Volume cm³,Volume mils³
198,Oblong,8.6,60.12,4,0.9404685681024446,2.15,32,"0,00105121",64148.47988479999
199,Oblong,60.12,8.6,4,0.9404685681024446,2.15,32,"0,00105121",64148.47988479999
189,Oblong,56.18,11,4,1.1498585888657338,2.75,8,"0,00031044",18944.41912
210,Oblong,12,56.9572,4,1.238968519603464,3,8,"0,00034221",20882.676480000002
196,Oblong,12,58.1372,4,1.2433601569495216,3,8,"0,00034963",21335.796479999997
197,Oblong,58.1372,12,4,1.2433601569495216,3,8,"0,00034963",21335.796479999997
202,Oblong,11.8099,65.0406,4,1.249378634394051,2.952475,32,"0,00154839",94488.52084207475
122,Rectangle,21.6499,19.6899,4,1.288964768848664,4.922475,360,"0,01005919",613849.4870544
123,Rectangle,19.6899,21.6499,4,1.288964768848664,4.922475,10,"0,00027942",17051.374640399998
175,Rectangle,27.56,21.6499,4,1.5156280646780422,5.412475,2,"0,00007822",4773.369951999999
188,Oblong,16,52.1699,4,1.530584612856994,4,5,"0,00025557",15595.603200000001
56,Rectangle,43.3099,29.5299,4,2.194777127356885,7.382475,2,"0,00016766",10231.49612808
203,Custom,99.6,25.06,4,2.502783571313974,6.265,8,"0,00130885",79871.23199999999
192,Custom,55.12,31.5,4,2.5055991687831907,7.875,3,"0,00034143",20835.36
193,Custom,55.12,31.5,4,2.5055991687831907,7.875,21,"0,00239001",145847.52
52,Rectangle,39.3699,43.3099,4,2.5778763857828633,9.842475,60,"0,00670601",409225.54368239996
194,Custom,47.24,43.3,4,2.824017009056771,10.825,12,"0,00160894",98183.616
195,Custom,47.24,43.3,4,2.824017009056771,10.825,6,"0,00080447",49091.808
204,Custom,47.24,47.24,4,2.9525,11.81,6,"0,00087767",53558.822400000005
79,Rectangle,47.24,51.18,4,3.0706959967486283,11.81,4,"0,00063392",38683.8912
61,Rectangle,51.18,49.2099,4,3.1359761813688425,12.302475,4,"0,00066035",40297.002911999996
53,Square,55.12,55.12,4,3.445,13.78,2,"0,00039830",24305.7152
208,Custom,110.2,39.4,4,3.627907754010695,9.85,8,"0,00227682",138940.16
64,Rectangle,62.9899,66.9299,4,4.056259811831992,15.747475,4,"0,00110538",67454.52332816001
75,Rectangle,66.9299,62.9899,4,4.056259811831992,15.747475,10,"0,00276345",168636.3083204
205,Custom,62,98.4,4,4.754364089775561,15.5,7,"0,00279928",170822.4
200,Custom,106.3,63,4,4.944551092734789,15.75,8,"0,00351176",214300.8
201,Custom,106.3,63,4,4.944551092734789,15.75,2,"0,00087794",53575.2
206,Custom,56.1,138.34,4,4.989247325653158,14.025,1,"0,00050871",31043.496000000003
207,Custom,56.1,138.48,4,4.990703052728955,14.025,1,"0,00050923",31074.912
191,Custom,66.58,108.28,4,5.153610316824888,16.645,8,"0,00378045",230697.0368
190,Custom,78.74,98.42,4,5.4679320952811015,19.685,4,"0,00203189",123993.4528
209,Custom,110.24,157.48,4,8.105761243089797,27.56,4,"0,00455183",277769.5232
