D-CODE,Shape,Size A (mils),Size B (mils),Thickness (mils),Area Ratio,Aspect Ratio,Qtd,Volume cm³,Volume mils³
218,Oblong,15.7499,43.3099,8,0.7218600829265422,1.9687375,8,"0,00065956",40249.115990366656
214,Oblong,66.9299,23.62,8,1.091169232379053,2.9525,1,"0,00019155",11689.252471992
226,Oblong,66.9299,23.62,8,1.091169232379053,2.9525,11,"0,00210708",128581.777191912
216,Oblong,23.62,97.24,8,1.1877424292569914,2.9525,14,"0,00399571",243833.08555188798
212,Oblong,23.62,110.24,8,1.2157612430897955,2.9525,4,"0,00130265",79492.51587196799
213,Oblong,27.56,114.1699,8,1.387552328407767,3.445,22,"0,00860484",525099.580289856
